id,nickname,comment,nickname_class,comment_class,
UgxgFHt3xAay_CZI-YF4AaABAg,사람-b4d2q,40만이닼!!!!!!!!!모두 소리질러!!!!!(대댓 부탁드려유),
UgwA43HO20f0MEOL9Jh4AaABAg,NOKOKI-s5i,40만 진짜 축하해요!!! 항상 재밌게 보고 있어요,
Ugx8M2U4l6M-eCXbbm14AaABAg,Assibal1204,깔수님 40만 축하드려요!!!,
UgxueC6HTCxwNcH5AHF4AaABAg,알고리즘버림,깔수 영상 보다가 알림와서 바로 달려왔습니다(40만 축하드려요!!),
UgxNE_lG-v9pB70Q7iR4AaABAg,Lucky_newhaon,깔수님 10몇만부터 봤는데 이제 40만이네요 축하드립니다 조금 쉬긴 했지만 계속 영상 올리는 모습이 멋지세요 앞으로도 열심히는 아니라도 영상 올려주시는 모습 기대하고 응원합니다 (대댓가능?),
UgyAKh_vUGA2GDokWMl4AaABAg,godzilla-g83,뭐 죄다 사기템만 있노 ;;,
Ugxv9PpTNk2M04N8Pzp4AaABAg,nuto_8416,31초전은 귀하다 즉시 시청,
UgyVUpEAjF5_g2CB9WB4AaABAg,rlawnsrb0821,이예 깔수 40만!!!! 100만까지 가자!!!,
Ugy_vaMCvXUDPQPdUCh4AaABAg,윤교정-MW2023,100빠!,
UgxqcbU-SuwZZM88lml4AaABAg,yumeijin8098,1빸,
UgxdPL5gI5fohlsk0i94AaABAg,재1배맨,1972빠,
Ugz21MSwsMRosWpu-pt4AaABAg,우진똑똑박사,40만!!!!!,
UgwPVbB36W0-NkkurU14AaABAg,yumeijin8098,조회수 없음 귀하다,
Ugz_oFPtFQvSNKBpSlN4AaABAg,user-strongman578, 진격의 골렘() 이걸 드래곤에 때리면? 드래곤이?,
UgyYa0GSvWp-luLDvch4AaABAg,치치피치피,정말깔깔한 40만구독자네요 깔깔깔,
Ugy5ntTTTsQXOFDuu9p4AaABAg,이범일-n5v,40만 ,
UgzEwzk-KNFMuM9Rz9t4AaABAg,boralee5102,40만 깔끔 ,
Ugx9eUI6xb8-nXoxUct4AaABAg,HAPPY724-K07,13분 ,
Ugw5eJE66mnmai7BZK54AaABAg,kim_yellow3,20빠!!! 13분전이네  형 40만 축하해,
Ugx2hWjRNvqVTVo5IBl4AaABAg,알고리즘버림,근데 bolder가 개웃겼다,
UgyPV-5bQeKmQZQSrXR4AaABAg,쭌이-j8p,40만 축하해요!!!!!!!!!!,
Ugy7lK_AGGxQDPoi9N14AaABAg,Z2_JAMMIN,4분전 ,
Ugz7BgNxYl6MN5xEHPl4AaABAg,완두콩02,오늘도 잘보고갑니다. (40만명 축하드립니다!!),
Ugx4tdW23RdMMbDDnLh4AaABAg,해리-c7d,40만 축하드려요!!!!!,
UgyxmL2ztjNZsqcFPFZ4AaABAg,ino-wow,와 3분전...,
UgzS28I6U20xK2iqGnF4AaABAg,윤교정-MW2023,2분전 대박대박!,
UgzBuGLF0CeOmhZ_0-h4AaABAg,뀨쮸쀼쮸-u7g, 네더까지 먹는 깔수,
Ugzaj86nBAU1ysBpy0J4AaABAg,박은숙-f4g,저깔우님스킨이잇음(만든거아님다운받은거임),
UgyVptdyloO6X9ZvmSd4AaABAg,jdo-v6l,40만 축하합니다,
Ugwo-7LrWwYZpfKGa_B4AaABAg,timothy6697,깔랑해요,
Ugxfc8FVLU_L4Ibqlvl4AaABAg,VBLover,썸네일에 레이드블레이드 뭐냐 ,
Ugx3UAMguMN56h2GnUN4AaABAg,작곡가-c5i, 용암 있지않나,
Ugya_RcIuMK8eLlXQR14AaABAg,Jinny-sori,40만  축하드려요 힘내세요,
Ugyv-ptTKY0GXjx1hwJ4AaABAg,Jinny-sori,와 4시간 전,
UgxklIMei04faSVwVpZ4AaABAg,유경국-i4d,힘내세요,
UgyrkMRf4wlAStd0x654AaABAg,루나지니,RPG 7 써주세요,
Ugws27qZ6U7nX33slwR4AaABAg,메기콘,깔수 40만 축하해용! 사랑해요 ,
Ugy_d8anbBASOUlEeSV4AaABAg,홍순권-h9w,40만축하해요!!!!!,
Ugxu1amfC5UYqKI4utV4AaABAg,조이조아-v9t,DAGGER이 파파고 발음이 아포칼립스 생각나게 하네 ,
Ugwa4GYbsTgo4QelXmh4AaABAg,박준모-q8g,,
Ugywla0e5bE7dg7nvLh4AaABAg,JaewonShim-z5g,,
UgznA1xEeQ7F1G9WLBd4AaABAg,GreenPudding,오늘 영상 제목 트롤 아이템의 트롤이 사용자 트롤링을 말하는거였네 40만 구독!,
Ugw3pdSHQoR623Oz7uZ4AaABAg,미화한-i7h,40만 축하해요!!!,

UgzV361GJnLA3cKGn3Z4AaABAg,USER-GOLDEN-NOOB,깔수님 40만 HOE!!!!!!!!!!!!!,
UgyyazBfdaBddluZg854AaABAg,류이나리,우왕 깔쑤오빠가 벌써 40만이네영~!!이대로 쭉쭉 가기를,
UgyzarznzJf_yVTfiTR4AaABAg,소금빵맨둠신,트롤템세상 박살내기 40만 축하해요!,
UgxkhQN4MQslFnx3MTZ4AaABAg,polaris9181,40만 축하드립니다!,
Ugx_Rsirwd9n_VGbi8t4AaABAg,ggyulggyul, 40만의 날,
UgygBEKAX9bTn_BgFZV4AaABAg,user-브민이,40만축하해요!!!!!,
UgxMGL4il2oAPT5jeB14AaABAg,1929-x1h,하드코어 파란색 아홀로틀 키우기 해주세여 그리고 40만 축하해용!!,
UgzuHfhKfSgBBiRL0bR4AaABAg,펀빌리지-P7D,깔수 40만! 깔수 40만! 환호하라!,
UgyS7bYocLS3dEiAHjd4AaABAg,카와랑이-z3g8f,깔수님 40만 축하해용 100만 드가자!!,
UgwRn02qktLoKqo5XEN4AaABAg,홍순권-h9w,감사합니다,
UgzRarghYlR0V9hOp_p4AaABAg,달빛백과사전,7분전,
Ugw8Dq-vpzw7dWEIhPt4AaABAg,hanyuljong7858,깔수님 텐션돌아와서 너무 좋아요,
Ugx2UaP09jUDxefPLEF4AaABAg,이서진-y4j,우와 다 사기 템,
Ugz_rnUOJQYIY13Cml54AaABAg,Hhhhe-l7l,크다 커 진짜크네,
UgwfzTTmOrOpaoocIZ14AaABAg,조지숙-v9t,19분전,
UgyMThf5gR7mO-vkO4N4AaABAg,예서-yeseo,깔수오빠영상에 댓글 처음남긴당 넘재밌오 나중에 시청자분들이랑 멀티도 해주라,
UgzM0KmAliz_QW5hL0J4AaABAg,간도윤,왕 40만 축하드려요!! 기념 이벤트 보고싶으면 개추,
UgxH_5ftHOFn0uri9Ih4AaABAg,솔방울-f9g,와운 너무재밌다  ,
UgwFJfF7CpEPM9ZKme94AaABAg,조효선-z1o,20전,
UgzDHekDoF9MwXg9od14AaABAg,솔방울-f9g,깔수너무재미있슴    ,
Ugy9qhe84zZZ0xrU2LZ4AaABAg,민기서-h2f,오 깔수형이 예유형을 이겼다,
UgzbzNuBx1OKPxFpEL94AaABAg,솔방울-f9g,40만 축카추카홓호호호호,
UgytyE2f5SBRoGMUajN4AaABAg,언덕TVZFJ,1빠,
